LDC,Class,951cn,cls
"""Generate old constellation""",com/fs/starfarer/api/impl/campaign/procgen/ProcGenTestPluginImpl,"""生成老年的星座""",x
"""Generate preset constellation""",com/fs/starfarer/api/impl/campaign/procgen/ProcGenTestPluginImpl,"""生成预设星座""",x
"""Generate salvage entities""",com/fs/starfarer/api/impl/campaign/procgen/ProcGenTestPluginImpl,"""生成打捞实体""",x
"""Print stats""",com/fs/starfarer/api/impl/campaign/procgen/ProcGenTestPluginImpl,"""打印数据""",x
"""Leave""",com/fs/starfarer/api/impl/campaign/procgen/ProcGenTestPluginImpl,"""离开""",x
"""Deliver the mysterious old man, the kid, and their robot to Volturn in the Askonia system. Avoid patrols; they may be wanted by the authorities.""",com/fs/starfarer/api/impl/campaign/missions/ANewHope,#N/A,x
"""Go to Volturn in the Askonia system""",com/fs/starfarer/api/impl/campaign/missions/ANewHope,#N/A,x
"""Passage To Volturn""",com/fs/starfarer/api/impl/campaign/missions/ANewHope,#N/A,x
"""% maneuverability for capital ships and cruisers, """,com/fs/starfarer/api/impl/campaign/skills/ImpactMitigation$Level6,"""% 主力舰和巡洋舰的机动性, """,x
"""% for destroyers and frigates""",com/fs/starfarer/api/impl/campaign/skills/ImpactMitigation$Level6,"""% 驱逐舰和护卫舰的机动性""",x
"""% weapon and engine damage taken""",com/fs/starfarer/api/impl/campaign/skills/ImpactMitigation$Level4,"""% 武器与引擎受到的伤害""",x
"""Maximum damage reduction by armor increased from 85% to 90%""",com/fs/starfarer/api/impl/campaign/skills/ImpactMitigation$Level5,"""装甲的最大伤害减免从 85% 提高至 90%""",x
"""Lost Contact: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""失去的联络人: """,x
"""Lost Contact: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""失去的联络人: """,x
"""Potential Contact: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""潜在联络人: """,x
"""Suspended Contact: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""屏蔽的联络人: """,x
"""Priority Contact: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""常用联络人: """,x
"""Contact: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""联络人: """,x
"""Type: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""类型: """,x
"""Faction: """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""所属: """,x
"""Relocated to """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""已经迁至 """,x
"""Importance reduced to: %s""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""地位降至: %s""",x
""" decivilized""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""" 已荒废""",x
"""Importance: %s""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""地位: %s""",x
"""Last visited: %s.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""最后一次联系于: %s.""",x
""" left to develop""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""发展""",x
"""Priority contact""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""常用联络人""",x
""" was """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""" 就在 """,x
""", a colony controlled by """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""", 其目前的控制方为 """,x
"""This colony has decivilized, and you've since lost contact with """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""由于该殖民地已被荒废, 导致你无法联系""",x
"""You've lost this contact.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,#N/A,x
""" is """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""", """,x
""" and can be found """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""" 的定居地位于 """,x
""", a size %s colony controlled by """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""", 规模: %s, 且目前隶属于 """,x
"""If this contact is developed, """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""如果让其加入您的联络人,}""",x
""" will periodically """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""}将会定期}给您发布任务.}""",x
"""have work for you. As the relationship improves, you may gain """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""且随着双方关系的改善,}""",x
"""access to better opportunities.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""您将有可能获得更优质的任务.""",x
"""Your contact with """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""您与 """,x
""" is currently suspended.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,""" 的联系目前暂时已被中止.""",x
"""Last visited: %s.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""最后一次联系于: %s.""",x
"""The opportunity to develop this contact will be available for %s more """,com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""加深联络人关系的机会将有 %s 多""",x
"""Active contacts: %s %s %s""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""活跃的联络人: %s %s %s""",x
"""Develop contact""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""建立联络""",x
"""Resume contact""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""恢复联络""",x
"""Suspend contact""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""暂停联络""",x
"""Delete contact""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""中止联络""",x
"""Are you sure? Deleting a potential contact can not be undone.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""你确定吗?}删除一个潜在的联络人将无法挽回.""",x
"""Are you sure? Deleting a contact can not be undone.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""你确定吗?}删除该联络人将无法挽回.""",x
"""Are you sure? Deleting a contact can not be undone. To stop receiving missions from a contact, but not lose them permanently, you can ""suspend"" the contact instead.""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,#VALUE!,x
"""Develop a relationship with this contact?""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""与该人建立联络?""",x
"""Developed additional contact (""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""提高了更多的联络人 (""",x
"""Suspended contact (""",com/fs/starfarer/api/impl/campaign/intel/contacts/ContactIntel,"""暂停联络 (""",x
"""The raid is over, and the fleets involved are returning to their home bases.""",com/fs/starfarer/api/impl/campaign/intel/raid/ReturnStage,"""突袭行动已经结束, 相关舰队正在返回它们的基地.""",x
"""Tactical drills""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level2,"""战术演练""",x
"""Affects: %s""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level2,"""影响: %s""",x
"""ground operations""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level2,"""地面行动""",x
"""+%s effectiveness of ground operations such as raids""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level2,"""+%s 突袭等地面行动的效果""",x
"""% effectiveness of ground operations such as raids""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level2,"""% 突袭等地面行动的效果""",x
"""Tactical drills""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level3,"""战术演练""",x
"""% marine casualties suffered during ground operations such as raids""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level3,"""% 突袭等地面作战行动中陆战队的伤亡""",x
"""Can not remove item""",com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,"""无法抛弃该物品""",x
"""Sells for: """,com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,"""售价为: """,x
""" per unit.""",com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,""" 每单位.""",x
"""Price: """,com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,"""价格: """,x
""" per unit.""",com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,""" 每单位.""",x
"""Base value: """,com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,"""基础价值: """,x
""" per unit.""",com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,""" 每单位.""",x
""" (known)""",com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,""" (已知)""",x
"""None""",com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,"""无""",x
"""... and %s other """,com/fs/starfarer/api/campaign/impl/items/BaseSpecialItemPlugin,"""... 和 %s 种其他 """,x
""": %s units. Reduced colony growth.""",com/fs/starfarer/api/impl/campaign/econ/impl/Mining,""": %s 单位. 降低了殖民地的发展度.""",x
"""Requires resource deposits""",com/fs/starfarer/api/impl/campaign/econ/impl/Mining,"""需要矿床""",x
"""Mining: drug shortage""",com/fs/starfarer/api/impl/campaign/econ/impl/Mining,"""采矿业: 毒品短缺""",x
"""sir""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""先生""",x
"""Sir""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""先生""",x
"""brother""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""兄弟""",x
"""Brother""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""兄弟""",x
"""his""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""His""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""him""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""Him""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""he""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""He""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""ma'am""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""女士""",x
"""Ma'am""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""女士""",x
"""sister""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""姐妹""",x
"""Sister""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""姐妹""",x
"""her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""Her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""Her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""she""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""She""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""walker""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,#N/A,x
"""Walker""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,#N/A,x
""" star system""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,""" 星系""",x
"""fleet""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""舰队""",x
"""ship""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""舰船""",x
"""fleet""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""舰队""",x
"""ship""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""舰船""",x
"""his""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""His""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""him""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""Him""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""he""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""He""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""himself""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""Himself""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""他""",x
"""man""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""男人""",x
"""Man""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""先生""",x
"""brother""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""兄弟""",x
"""Brother""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""兄弟""",x
"""sir""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""先生""",x
"""Sir""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""先生""",x
"""her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""Her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""Her""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""she""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""She""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""herself""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""Herself""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""她""",x
"""woman""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""女人""",x
"""Woman""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""女人""",x
"""sister""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""姐妹""",x
"""Sister""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""姐妹""",x
"""ma'am""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""女士""",x
"""Ma'am""",com/fs/starfarer/api/impl/campaign/CoreRuleTokenReplacementGeneratorImpl,"""女士""",x
"""Automated Defenses""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/SalvageGenFromSeed,"""自动防御系统""",x
"""Requires: proper docking authorization (transponder on)""",com/fs/starfarer/api/impl/campaign/submarkets/OpenMarketPlugin,"""要求: 入港许可 (开启应答器)""",x
"""Negotiate a higher fee for the delivery""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""尝试提高运费""",x
"""Negotiated higher fee for delivery of """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""经协商提高了运费 - """,x
""" to """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 运送至 """,x
"""At a corner table, a concerned-looking """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""在一处不起眼的角落旁,}一名""",x
""" glumly examines """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""正聚精会神的看着""",x
""" TriPad.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""的}TriPad.""",x
"""At a corner table, a concerned-looking """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""在一处不起眼的角落旁,}一名""",x
""" in """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" (胸前佩戴有 """,x
""" uniform """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 徽章) """,x
""" glumly examines """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""正聚精会神的看着""",x
""" TriPad.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""的}TriPad.""",x
"""Nod to the concerned """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""你向那名""",x
""" and walk over to """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""点头示意,}并走到""",x
""" table""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""的桌子旁""",x
"""sir""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""先生""",x
"""ma'am""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""女士""",x
"""""Oh, it's you, """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""""哦! 是您, """,x
""" exclaims. Taking a moment to recover """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""兴奋地惊呼道."" 在""",x
""" composure, """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""恢复冷静后, """,x
""" says ""We've got a little logistical problem that could use """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""凑过身子 并继续说道: 我们遇到了一些 后勤方面的问题, """,x
"""your personal touch. """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""可能需要您亲自去处理. """,x
"""There are %s units of """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""有 %s 单位的 """,x
""" that urgently need to be delivered """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 急需交付""",x
""" to %s""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""给 %s""",x
""", in the """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""", 其具体位置在 """,x
"""However, recent pirate activity has been making that difficult, and the regular trade fleets aren't quite up to the task.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""但最近的海盗活动 不仅使得该目标难以实现, 且常规的贸易舰队 也无法胜任这一任务.""""",x
"""However, recent Pather cell activity has been making that difficult, and the regular trade fleets aren't quite up to the task.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""但最近肆掠的卢德左径 不仅使得该目标难以实现, 且常规的贸易舰队 也无法胜任这一任务.""""",x
"""But, well, you know what trader captains are like. There have been some disagreements over hazard pay, and it's left us in the lurch.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""但是, 多亏我们有个 '慷慨' 的舰长, 他在危险津贴 方面上的过度克扣, 使船员们产生了 一些分歧, 这让我们现在的 处境非常尴尬.""""",x
"""After brief introductions, """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""经过简短介绍后, """,x
""" wastes no time in getting to the point. """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""就立即直奔主题. """,x
"""""I've got %s units of """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""""我有 %s 单位的 """,x
""" that urgently need to be delivered """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 急需交付""",x
""" to %s""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""给 %s""",x
""", in the """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""", 其具体位置在 """,x
"""Recent pirate activity has been making that difficult, but you look like someone that could get the job done.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""但附近的海盗活动 让这次运输任务 变得异常艰难, 但你看起来应该能 胜任这项任务.""""",x
"""Recent Pather cell activity has been making that difficult, but I'm sure you can handle any trouble.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""但附近的卢德左径 让这次运输任务 变得异常艰难, 但你看起来应该能 处理这些麻烦.""""",x
"""We've had some disputes with the regular shipping company, and it's left us in the lurch. Should be a milk run for someone like you, though.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""由于我们和正规的 货运公司发生了 一些私人纠纷, 这使得我们 陷入两难之中, 但对于像你 这样的人来说, 这种差事应该 轻而易举.""""",x
"""located in hyperspace,""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""其具体位置在超空间内,""",x
"""located in the """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""其具体位置在 """,x
""" is under %s control, and """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 如今在 %s 的控制之下, """,x
""" Your fleet's fuel tanks can hold an additional %s units of fuel.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 你的舰队还能储存 %s 单位的燃料.""",x
"""%sYour fleet's fuel tanks are currently full.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""%s你的舰队油罐已经满了.""",x
""" Your fleet's holds can accommodate an additional %s units of cargo.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,""" 你的舰队还能储存 %s 单位的货物.""",x
"""%sYour fleet's cargo holds are currently full.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""%s你的舰队货舱已经满了.""",x
""" double-checks something on """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""看着""",x
""" pad. """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""的}TriPad}说道: """,x
"""""The customer will pay %s upon delivery within %s days. Can you take this on?""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""""客户将支付 %s 作为报酬, 但你必须在 %s 天内完成交付. 你愿意接受吗?""""",x
""" double-checks something on """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""看着""",x
""" pad. """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""的}TriPad}说道: """,x
"""""The offer is %s credits, payable upon delivery within %s days. You'll also have to """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""""报酬为 %s, 在 %s 天内交货时付款. 此外你还须""",x
"""transfer %s to an escrow account. This will be returned to you """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""支付 %s 到托管账户内, 别担心, """,x
"""when you complete the delivery - """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""这些保证金会在你完成 交付后退还, """,x
"""standard insurance procedure, you understand.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""这仅仅只是标准的保险程序而已, 你明白了么?""""",x
""" double-checks something on """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""看着""",x
""" pad. """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""的}TriPad}说道: """,x
"""""The offer is %s credits, payable upon delivery within %s days. You in?""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""""报酬 %s , 在 %s 天内交货时付款. 你愿意么?""""",x
"""Agree to handle the contract""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""同意并接受这份合同""",x
"""Accept the delivery contract""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""接受运输合同""",x
"""""You drive a hard bargain! Very well, it's a deal."" """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""""你可真会讨价还价,}好吧,}一言为定.""""",x
""" does not appear too displeased. You consider that the initial offer """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""并没表现出不满.}""",x
"""was probably on the low side.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""看来最初报价应该偏低了.""",x
"""Decline, explaining that you've got other urgent business to attend to""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""拒绝,}并解释你还有其他要务需要处理""",x
"""Decline the offer, explaining that you've got other plans""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""拒绝这份工作,}并解释说你还有其他计划""",x
"""You receive authorization codes to access a dockside warehouse, and contact your quartermaster with instructions to begin loading the cargo.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""你收到了进入港口仓库的授权代码,}现在可联系你的军需官, 并开始装载货物.""",x
"""Destination: """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DeliveryBarEvent,"""目的地: """,x
"""ship""",com/fs/starfarer/api/impl/campaign/rulecmd/HailPlayer,"""的舰船""",x
"""fleet""",com/fs/starfarer/api/impl/campaign/rulecmd/HailPlayer,"""的舰队""",x
"""You're being hailed by the """,com/fs/starfarer/api/impl/campaign/rulecmd/HailPlayer,"""你遭遇到了 """,x
"""Stealth minefields""",com/fs/starfarer/api/impl/campaign/econ/StealthMinefields,"""隐形雷区""",x
"""+%s weapon damage for combat ships (maximum: %s)""",com/fs/starfarer/api/impl/campaign/skills/TacticalDrills$Level1,"""+%s 战斗舰船的武器伤害 (最高: %s)""",x
"""Nothing of note is going on at the bar.""",com/fs/starfarer/api/impl/campaign/rulecmd/missions/BarCMD,"""酒吧里并没有什么值得注意的事.""",x
"""You unobtrusively watch the patrons of the bar for a few minutes before deciding what to do next.""",com/fs/starfarer/api/impl/campaign/rulecmd/missions/BarCMD,"""在决定下一步该做什么之前, 你花了数分钟悄悄的观察着酒吧内的顾客.""",x
"""Leave the bar""",com/fs/starfarer/api/impl/campaign/rulecmd/missions/BarCMD,"""离开酒吧""",x
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/missions/BarCMD,"""继续""",x
"""preparing for voyage to Galatia Academy""",com/fs/starfarer/api/impl/campaign/fleets/misc/MiscAcademyFleetCreator,#N/A,x
"""returned from voyage to Galatia Academy""",com/fs/starfarer/api/impl/campaign/fleets/misc/MiscAcademyFleetCreator,#N/A,x
"""traveling to Galatia Academy""",com/fs/starfarer/api/impl/campaign/fleets/misc/MiscAcademyFleetCreator,#N/A,x
"""traveling to """,com/fs/starfarer/api/impl/campaign/fleets/misc/MiscAcademyFleetCreator,#N/A,x
"""orbiting Galatia Academy""",com/fs/starfarer/api/impl/campaign/fleets/misc/MiscAcademyFleetCreator,#N/A,x
"""orbiting Galatia Academy""",com/fs/starfarer/api/impl/campaign/fleets/misc/MiscAcademyFleetCreator,#N/A,x
"""Unknown""",com/fs/starfarer/api/impl/campaign/terrain/BaseTiledTerrain,"""不明""",x
"""... the possible location of a blueprint (""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/WeaponBlueprintOffer,"""... 蓝图可能存在的位置 (""",x
"""Learned location of """,com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/WeaponBlueprintOffer,"""已经获悉了 """,x
""" blueprint""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/WeaponBlueprintOffer,""" 蓝图的位置""",x
