LDC,Class,LDC_96CN,RAW_96CN,note
"""%s out of %s experience gained.""",com/fs/starfarer/coreui/dosuper$1,"""%s 经验 - %s 经验 (每一百万经验可获得 1 个 故事点)。""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""%s 经验 - %s 经验 (每一百万经验可获得 1 个 故事点)。""",
"""Current level: %s, maximum is %s.""",com/fs/starfarer/coreui/dosuper$1,"""当前等级：%s, 最高 %s.""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""当前等级：%s, 最高 %s.""",
"""%s out of %s experience gained towards next level.""",com/fs/starfarer/coreui/dosuper$1,"""当前：%s 经验，升级尚需 %s 经验。""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""当前：%s 经验，升级尚需 %s 经验。""",
"""points""",com/fs/starfarer/coreui/dosuper$1,"""点""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点""",
"""point""",com/fs/starfarer/coreui/dosuper$1,"""点""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点""",
"""You will gain %s skill """,com/fs/starfarer/coreui/dosuper$1,"""当你等级提升时，你将获得 %s 个技能""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""当你等级提升时，你将获得 %s 个技能""",
""" when you level up.""",com/fs/starfarer/coreui/dosuper$1,""".""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - "".""",
"""You will gain %s """,com/fs/starfarer/coreui/dosuper$1,"""你每升一级将可以最多获得 %s 个 ""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""你每升一级将可以最多获得 %s 个 """,
""" points over the course of each level. """,com/fs/starfarer/coreui/dosuper$1,"""点。此外，即便达到了最高等级，""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点。此外，即便达到了最高等级，""",
"""In addition, you will continue to gain """,com/fs/starfarer/coreui/dosuper$1,"""仍可继续获得 ""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""仍可继续获得 """,
""" points """,com/fs/starfarer/coreui/dosuper$1,"""点""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点""",
"""after reaching the maximum level.""",com/fs/starfarer/coreui/dosuper$1,""".""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - "".""",
"""Bonus experience""",com/fs/starfarer/coreui/dosuper$1,"""额外经验""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""额外经验""",
"""You have %s bonus experience. Bonus experience doubles your experience gains until it's used up, and is acquired by using """,com/fs/starfarer/coreui/dosuper$1,"""你有 %s 点 额外经验。它们可以使你接下来获得的经验值翻倍，直至用完为止。你可通过特定方式并使用 ""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""你有 %s 点 额外经验。它们可以使你接下来获得的经验值翻倍，直至用完为止。你可通过特定方式并使用 """,
""" points in certain ways.""",com/fs/starfarer/coreui/dosuper$1,"""点 来获得它们。""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点 来获得它们。""",
""" points""",com/fs/starfarer/coreui/dosuper$1,"""点""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点""",
"""triples""",com/fs/starfarer/coreui/dosuper$1,"""三倍""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""三倍""",
"""quadruples""",com/fs/starfarer/coreui/dosuper$1,"""四倍""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""四倍""",
"""After reaching the maximum level, bonus experience %s your experience gains instead.""",com/fs/starfarer/coreui/dosuper$1,"""当到达最大等级后，奖励经验将提高你的经验至原来的 %s。""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""当到达最大等级后，奖励经验将提高你的经验至原来的 %s。""",
"""After reaching the maximum level, bonus experience increases your experience gains by %s instead.""",com/fs/starfarer/coreui/dosuper$1,"""当到达最大等级后，奖励经验将提高你的经验获取量至%s。""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""当到达最大等级后，奖励经验将提高你的经验获取量至%s。""",
"""points""",com/fs/starfarer/coreui/dosuper$1,"""点""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点""",
"""point""",com/fs/starfarer/coreui/dosuper$1,"""点""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点""",
"""You will gain %s additional bonus experience on reaching the maximum level, based on your use of """,com/fs/starfarer/coreui/dosuper$1,"""当达到最高等级时，将获得 %s 点 额外经验，它基于你目前为止""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""当达到最高等级时，将获得 %s 点 额外经验，它基于你目前为止""",
""" points so far. This is enough to gain """,com/fs/starfarer/coreui/dosuper$1,"""点 的使用情况。当它们用完后，足以获得 ""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""点 的使用情况。当它们用完后，足以获得 """,
"""%s additional """,com/fs/starfarer/coreui/dosuper$1,"""%s 个额外的 ""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - ""%s 个额外的 """,
""" when this bonus XP is used up.""",com/fs/starfarer/coreui/dosuper$1,""".""","com/fs/starfarer/coreui/dosuper$1.createImpl - String - "".""",
"""The maximum number of mods you can build into this ship is %s. """,com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""你最多可在这艘船上内置 %s 个船插。那些初始就内置于船体内的插件将不计入这一限制当中。""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""你最多可在这艘船上内置 %s 个船插。那些初始就内置于船体内的插件将不计入这一限制当中。""",
"""Building mods into a hull uses a """,com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""给船体内置一个船插将花费一个 ""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""给船体内置一个船插将花费一个 """,
""" point for each hullmod and """,com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""点，并根据""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""点，并根据""",
"""grants bonus experience, depending on hull size.""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""并根据舰船级别给予 额外经验。""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""并根据舰船级别给予 额外经验。""",
""" point""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""点""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""点""",
"""Hull size""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""舰船级别""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""舰船级别""",
"""Bonus XP""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""额外经验""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""额外经验""",
"""Frigate""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""护卫舰""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""护卫舰""",
"""Destroyer""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""驱逐舰""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""驱逐舰""",
"""Cruiser""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""巡洋舰""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""巡洋舰""",
"""Capital ship""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""主力舰""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""主力舰""",
"""Building mods into a hull uses a """,com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""给船体内置一个船插将花费一个 ""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""给船体内置一个船插将花费一个 """,
""" point for each hullmod.""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""点。""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""点。""",
""" point""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""点""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""点""",
"""Hullmods costing less than %s ordnance points grant bonus experience, with cheaper hullmods granting more.""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""内置装配点低于 %s 点的船插将可以获得 额外经验，并且装配点越低，额外经验 也就越高。""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""内置装配点低于 %s 点的船插将可以获得 额外经验，并且装配点越低，额外经验 也就越高。""",
"""Built-in hullmods""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""标准内置船插""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""标准内置船插""",
"""Hull-standard built-in mods do not count against the limit. In addition, if a built-in mod has an s-mod bonus effect, it may be ehnanced at the cost of a story point to unlock this effect.""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""舰船的标准内置船插不计入上限。此外，如果舰船的标准内置船插有 S-插件 增益效果，则可通过消耗一个故事点进行强化解锁该增益。""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""舰船的标准内置船插不计入上限。此外，如果舰船的标准内置船插有 S-插件 增益效果，则可通过消耗一个故事点进行强化解锁该增益。""",
"""story point""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""故事点""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""故事点""",
"""Since such a hullmod is already built into the hull, enhancing it always grants %s bonus experience.""",com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2,"""由于该船插本身已经内置在船体内，因此进行强化能获得 %s 奖励经验值。""","com/fs/starfarer/coreui/refit/ModPickerDialogV3$PermaModInfoWidget$2.createImpl - String - ""由于该船插本身已经内置在船体内，因此进行强化能获得 %s 奖励经验值。""",
"""Character""",com/fs/starfarer/campaign/OooO,"""角色技能""","com/fs/starfarer/ui/newui/L.<init> - String - ""角色技能""",新增
"""Fleet""",com/fs/starfarer/campaign/OooO,"""舰队管理""","com/fs/starfarer/ui/newui/L.<init> - String - ""舰队管理""",新增
"""Refit""",com/fs/starfarer/campaign/OooO,"""舰船改装""","com/fs/starfarer/ui/newui/L.<init> - String - ""舰队改装""",新增
"""Cargo""",com/fs/starfarer/campaign/OooO,"""货物""","com/fs/starfarer/ui/newui/L.<init> - String - ""人员/船舱""",新增
"""Officers""",com/fs/starfarer/campaign/OooO,"""军官管理""","com/fs/starfarer/ui/newui/L.<init> - String - ""星图""",新增
"""Outposts""",com/fs/starfarer/campaign/OooO,"""前哨管理""","com/fs/starfarer/ui/newui/L.<init> - String - ""网络信息""",新增
"""Map""",com/fs/starfarer/campaign/OooO,"""星际地图""","com/fs/starfarer/ui/newui/L.<init> - String - ""综合管理""",新增
"""Marines""",com/fs/starfarer/coreui/E$Oo,"""陆战队""","com/fs/starfarer/coreui/E$Oo.<init> - String - ""陆战队""",
"""Sensor Range""",com/fs/starfarer/ui/impl/S$2,"""探测范围""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""探测范围""",
"""Your fleet has a sensor strength of %s.*""",com/fs/starfarer/ui/impl/S$2,"""当前舰队传感器探测范围是 %s.""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""当前舰队传感器探测范围是 %s.""",
"""The sensor range is added to another entity's sensor profile to determine the range at which your fleet can detect it. Skills, terrain, abilities, and other such modifiers apply to the combined value.""",com/fs/starfarer/ui/impl/S$2,"""探测范围将与另一支舰队的被侦测范围相结合，以确定对方 舰队可被侦测到的范围。且最终值将受技能，地形，能力，以及其它数据的影响。""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""探测范围将与另一支舰队的被侦测范围相结合，以确定对方 舰队可被侦测到的范围。且最终值将受技能，地形，能力，以及其它数据的影响。""",
"""The combined detection range is limited to %s units when in hyperspace.""",com/fs/starfarer/ui/impl/S$2,"""在超空间中，探测范围将被限制在 %s 内。""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""在超空间中，探测范围将被限制在 %s 内。""",
"""Contributing factors""",com/fs/starfarer/ui/impl/S$2,"""促成因素""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""促成因素""",
"""A base sensor strength of %s, and %s ships with the highest sensor strength:""",com/fs/starfarer/ui/impl/S$2,"""基础探测范围是 %s, 而 %s 艘舰船具有最高的探测范围：""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""基础探测范围是 %s, 而 %s 艘舰船具有最高的探测范围：""",
"""Sensor range modifiers""",com/fs/starfarer/ui/impl/S$2,"""探测范围数据补正""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""探测范围数据补正""",
"""*2000 units = 1 map grid cell""",com/fs/starfarer/ui/impl/S$2,"""2000 单位 = 1 地图网格单元""","com/fs/starfarer/ui/impl/oOOo$2.createImpl - String - ""2000 单位 = 1 地图网格单元""",
"""ISS""",com/fs/starfarer/loading/SpecStore,"""ISS""","com/fs/starfarer/loading/SpecStore.oo0000 - String - ""ISS""",
"""No description... yet""",com/fs/starfarer/loading/SpecStore,"""No description... yet""","com/fs/starfarer/ui/impl/U.super - String - ""No description... yet""",
"""No description... yet""",com/fs/starfarer/loading/SpecStore,"""No description... yet""","com/fs/starfarer/ui/impl/U.super - String - ""No description... yet""",
"""No description... yet""",com/fs/starfarer/loading/SpecStore,"""No description... yet""","com/fs/starfarer/ui/impl/U.super - String - ""No description... yet""",
"""No description... yet.""",com/fs/starfarer/loading/SpecStore,"""No description... yet.""","com/fs/starfarer/loading/SpecStore.ô00000 - String - ""No description... yet.""",
"""No description... yet.""",com/fs/starfarer/loading/SpecStore,"""No description... yet.""","com/fs/starfarer/loading/SpecStore.ô00000 - String - ""No description... yet.""",
"""Common""",com/fs/starfarer/loading/SpecStore,"""Common""","com/fs/starfarer/loading/WeaponSpreadsheetLoader.Ò00000 - String - ""Common""",
"""Common""",com/fs/starfarer/loading/SpecStore,"""Common""","com/fs/starfarer/loading/WeaponSpreadsheetLoader.Ò00000 - String - ""Common""",
"""Sensor Profile""",com/fs/starfarer/ui/impl/S$1,"""被侦测范围""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""被侦测范围""",
"""Your fleet has a sensor profile of %s.*""",com/fs/starfarer/ui/impl/S$1,"""当前舰队被侦测到的范围是 %s.""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""当前舰队被侦测到的范围是 %s.""",
"""The sensor profile is added to another fleet's sensor strength to determine the range at which your fleet can be detected. Skills, terrain, abilities, and other such modifiers apply to the combined value.""",com/fs/starfarer/ui/impl/S$1,"""被侦测范围将与另一支舰队的探测范围相结合，以确定你的 舰队可被侦测到的范围。且最终值将受技能，地形，能力，以及其它数据的影响。""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""被侦测范围将与另一支舰队的探测范围相结合，以确定你的 舰队可被侦测到的范围。且最终值将受技能，地形，能力，以及其它数据的影响。""",
"""The combined detection range is limited to %s units when in hyperspace.""",com/fs/starfarer/ui/impl/S$1,"""在超空间中，探测范围将被限制在 %s 内。""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""在超空间中，探测范围将被限制在 %s 内。""",
"""Contributing factors""",com/fs/starfarer/ui/impl/S$1,"""促成因素""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""促成因素""",
"""A base sensor profile of %s, and %s ships with the highest sensor profile:""",com/fs/starfarer/ui/impl/S$1,"""基础被侦测范围是 %s, 而 %s 艘舰船具有最高的被侦测范围：""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""基础被侦测范围是 %s, 而 %s 艘舰船具有最高的被侦测范围：""",
"""Sensor profile modifiers""",com/fs/starfarer/ui/impl/S$1,"""被侦测范围数据补正""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""被侦测范围数据补正""",
"""*2000 units = 1 map grid cell""",com/fs/starfarer/ui/impl/S$1,"""2000 单位 = 1 地图网格单元""","com/fs/starfarer/ui/impl/oOOo$1.createImpl - String - ""2000 单位 = 1 地图网格单元""",
"""click here to paste code""",com/fs/starfarer/launcher/StarfarerLauncherUI$o0,"""点击此处粘贴拷贝的激活码""","com/fs/starfarer/launcher/StarfarerLauncherUI$o0.<init> - String - ""点击此处粘贴拷贝的激活码""",
"""Activate!""",com/fs/starfarer/launcher/StarfarerLauncherUI$o0,"""激活！""","com/fs/starfarer/launcher/StarfarerLauncherUI$o0.<init> - String - ""激活！""",
"""Unknown""",com/fs/starfarer/loading/specs/PlanetSpec,"""未知""","com/fs/starfarer/loading/specs/PlanetSpec.<init> - String - ""未知""",
"""a""",com/fs/starfarer/loading/specs/PlanetSpec,""" ""","com/fs/starfarer/loading/specs/PlanetSpec.<init> - String - "" """,
"""Save""",com/fs/starfarer/title/super/F,"""保存""","com/fs/starfarer/title/A/F.<init> - String - ""保存""",
"""Defaults""",com/fs/starfarer/title/super/F,"""默认值""","com/fs/starfarer/title/A/F.<init> - String - ""默认值""",
"""Cancel""",com/fs/starfarer/title/super/F,"""取消""","com/fs/starfarer/title/A/F.<init> - String - ""取消""",
"""Controls""",com/fs/starfarer/title/super/F,"""控制""","com/fs/starfarer/title/A/F.int.void - String - ""控制""",
"""Controls""",com/fs/starfarer/title/super/F,"""控制""","com/fs/starfarer/title/A/F.int.void - String - ""控制""",
"""Settings""",com/fs/starfarer/title/super/F,"""游戏设置""","com/fs/starfarer/title/A/F.Ôö0000 - String - ""游戏设置""",
"""Settings""",com/fs/starfarer/title/super/F,"""游戏设置""","com/fs/starfarer/title/A/F.Ôö0000 - String - ""游戏设置""",
"""Really reset ALL settings (on all tabs) to their default values?""",com/fs/starfarer/title/super/F,"""真的将所有设置 (所有选项卡) 重置为默认值？""","com/fs/starfarer/title/A/F.Òö0000 - String - ""真的将所有设置 (所有选项卡) 重置为默认值？""",
"""Yes""",com/fs/starfarer/title/super/F,"""是""","com/fs/starfarer/title/A/F.Òö0000 - String - ""是""",
"""No""",com/fs/starfarer/title/super/F,"""不""","com/fs/starfarer/title/A/F.Òö0000 - String - ""不""",
"""Are you sure? You'll lose any changes you've made to the settings.""",com/fs/starfarer/title/super/F,"""你确定吗？你会失去你所做的设置更改。""","com/fs/starfarer/title/A/F.Õö0000 - String - ""你确定吗？你会失去你所做的设置更改。""",
"""Yes""",com/fs/starfarer/title/super/F,"""是""","com/fs/starfarer/title/A/F.Õö0000 - String - ""是""",
"""No""",com/fs/starfarer/title/super/F,"""不""","com/fs/starfarer/title/A/F.Õö0000 - String - ""不""",
"""Flux / second""",com/fs/starfarer/codex/ui/int,"""最低幅能输出 / 秒""","com/fs/starfarer/codex/ui/I.<init> - String - ""最低幅能输出 / 秒""",
"""Accuracy""",com/fs/starfarer/codex/ui/int,"""精确度""","com/fs/starfarer/codex/ui/I.<init> - String - ""精确度""",
"""Perfect""",com/fs/starfarer/codex/ui/int,"""完美""","com/fs/starfarer/codex/ui/I.<init> - String - ""完美""",
"""Turn rate""",com/fs/starfarer/codex/ui/int,"""转向速度""","com/fs/starfarer/codex/ui/I.<init> - String - ""转向速度""",
"""Burst damage""",com/fs/starfarer/codex/ui/int,"""爆发伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""爆发伤害""",
"""Shots/minute""",com/fs/starfarer/codex/ui/int,"""射速/分""","com/fs/starfarer/codex/ui/I.<init> - String - ""射速/分""",
"""EMP damage""",com/fs/starfarer/codex/ui/int,"""EMP 伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""EMP 伤害""",
"""Charges""",com/fs/starfarer/codex/ui/int,"""充能""","com/fs/starfarer/codex/ui/I.<init> - String - ""充能""",
"""Recharged/minute""",com/fs/starfarer/codex/ui/int,"""充能次数/分""","com/fs/starfarer/codex/ui/I.<init> - String - ""充能次数/分""",
"""EMP DPS""",com/fs/starfarer/codex/ui/int,"""EMP 每秒伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""EMP 每秒伤害""",
"""Flux / second""",com/fs/starfarer/codex/ui/int,"""最低幅能输出 / 秒""","com/fs/starfarer/codex/ui/I.<init> - String - ""最低幅能输出 / 秒""",
"""Accuracy""",com/fs/starfarer/codex/ui/int,"""精确度""","com/fs/starfarer/codex/ui/I.<init> - String - ""精确度""",
"""Turn rate""",com/fs/starfarer/codex/ui/int,"""转向速度""","com/fs/starfarer/codex/ui/I.<init> - String - ""转向速度""",
"""Shots/minute""",com/fs/starfarer/codex/ui/int,"""射速/分""","com/fs/starfarer/codex/ui/I.<init> - String - ""射速/分""",
"""Damage""",com/fs/starfarer/codex/ui/int,"""伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""伤害""",
"""EMP damage""",com/fs/starfarer/codex/ui/int,"""EMP 伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""EMP 伤害""",
"""Charges""",com/fs/starfarer/codex/ui/int,"""充能""","com/fs/starfarer/codex/ui/I.<init> - String - ""充能""",
"""Recharged / minute""",com/fs/starfarer/codex/ui/int,"""充能次数 / 分""","com/fs/starfarer/codex/ui/I.<init> - String - ""充能次数 / 分""",
"""Max clips (ammo)""",com/fs/starfarer/codex/ui/int,"""最大弹夹 (弹药) ""","com/fs/starfarer/codex/ui/I.<init> - String - ""最大弹夹 (弹药) """,
"""Seconds / reload""",com/fs/starfarer/codex/ui/int,"""秒 / 重装""","com/fs/starfarer/codex/ui/I.<init> - String - ""秒 / 重装""",
"""Charges / clip""",com/fs/starfarer/codex/ui/int,"""能量 / 弹夹""","com/fs/starfarer/codex/ui/I.<init> - String - ""能量 / 弹夹""",
"""Ammo""",com/fs/starfarer/codex/ui/int,"""弹药""","com/fs/starfarer/codex/ui/I.<init> - String - ""弹药""",
"""Reloaded / minute""",com/fs/starfarer/codex/ui/int,"""装填次数 / 分""","com/fs/starfarer/codex/ui/I.<init> - String - ""装填次数 / 分""",
"""Max clips (ammo)""",com/fs/starfarer/codex/ui/int,"""最大弹夹 (弹药) ""","com/fs/starfarer/codex/ui/I.<init> - String - ""最大弹夹 (弹药) """,
"""Seconds / reload""",com/fs/starfarer/codex/ui/int,"""秒 / 重装""","com/fs/starfarer/codex/ui/I.<init> - String - ""秒 / 重装""",
"""Ammo / clip""",com/fs/starfarer/codex/ui/int,"""弹药 / 弹夹""","com/fs/starfarer/codex/ui/I.<init> - String - ""弹药 / 弹夹""",
"""Charges""",com/fs/starfarer/codex/ui/int,"""充能""","com/fs/starfarer/codex/ui/I.<init> - String - ""充能""",
"""Ammo""",com/fs/starfarer/codex/ui/int,"""弹药""","com/fs/starfarer/codex/ui/I.<init> - String - ""弹药""",
"""Flux / second""",com/fs/starfarer/codex/ui/int,"""最低幅能输出 / 秒""","com/fs/starfarer/codex/ui/I.<init> - String - ""最低幅能输出 / 秒""",
"""Speed""",com/fs/starfarer/codex/ui/int,"""飞行速度""","com/fs/starfarer/codex/ui/I.<init> - String - ""飞行速度""",
"""Tracking""",com/fs/starfarer/codex/ui/int,"""追踪能力""","com/fs/starfarer/codex/ui/I.<init> - String - ""追踪能力""",
"""Damage""",com/fs/starfarer/codex/ui/int,"""伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""伤害""",
"""EMP damage""",com/fs/starfarer/codex/ui/int,"""EMP 伤害""","com/fs/starfarer/codex/ui/I.<init> - String - ""EMP 伤害""",
"""Shots/minute""",com/fs/starfarer/codex/ui/int,"""射速/分""","com/fs/starfarer/codex/ui/I.<init> - String - ""射速/分""",
"""Ammo""",com/fs/starfarer/codex/ui/int,"""弹药""","com/fs/starfarer/codex/ui/I.<init> - String - ""弹药""",
"""Reloaded/minute""",com/fs/starfarer/codex/ui/int,"""装填次数/分""","com/fs/starfarer/codex/ui/I.<init> - String - ""装填次数/分""",
"""Mapping one for '%s' unbound.""",com/fs/starfarer/title/super/D,"""请重新绑定 '%s' 的主按键。""","com/fs/starfarer/title/A/D.Object - String - ""请重新绑定 '%s' 的主按键。""",
"""Mapping two for '%s' unbound.""",com/fs/starfarer/title/super/D,"""请重新绑定 '%s' 的副按键。""","com/fs/starfarer/title/A/D.Object - String - ""请重新绑定 '%s' 的副按键。""",
"""<press a key>""",com/fs/starfarer/title/super/C,"""<按任意键>""","com/fs/starfarer/title/A/Object.startFlashing - String - ""<按任意键>""",
"""<none>""",com/fs/starfarer/title/super/C,"""<未设置>""","com/fs/starfarer/title/A/Object.getName - String - ""<未设置>""",
"""Ctrl-""",com/fs/starfarer/title/super/C,"""Ctrl-""","com/fs/starfarer/title/A/Object.getName - String - ""Ctrl-""",
"""Alt-""",com/fs/starfarer/title/super/C,"""Alt-""","com/fs/starfarer/title/A/Object.getName - String - ""Alt-""",
"""Shift-""",com/fs/starfarer/title/super/C,"""Shift-""","com/fs/starfarer/title/A/Object.getName - String - ""Shift-""",
"""Stabilizing economy...""",com/fs/starfarer/campaign/save/CampaignGameManager$2,"""稳定经济...""","com/fs/starfarer/campaign/save/CampaignGameManager$2.super - String - ""稳定经济...""",
"""Saving screenshot to %s...""",com/fs/starfarer/util/return,"""保存截图 %s...""","com/fs/starfarer/util/OOoO.o00000 - String - ""保存截图 %s...""",
"""Very Slow""",com/fs/starfarer/loading/specs/o00o,"""非常慢""","com/fs/starfarer/loading/specs/o00o.getSpeedDisplayName - String - ""非常慢""",
"""Slow""",com/fs/starfarer/loading/specs/o00o,"""较慢""","com/fs/starfarer/loading/specs/o00o.getSpeedDisplayName - String - ""较慢""",
"""Medium""",com/fs/starfarer/loading/specs/o00o,"""普通""","com/fs/starfarer/loading/specs/o00o.getSpeedDisplayName - String - ""普通""",
"""Fast""",com/fs/starfarer/loading/specs/o00o,"""较快""","com/fs/starfarer/loading/specs/o00o.getSpeedDisplayName - String - ""较快""",
"""Very Fast""",com/fs/starfarer/loading/specs/o00o,"""非常快""","com/fs/starfarer/loading/specs/o00o.getSpeedDisplayName - String - ""非常快""",
"""None""",com/fs/starfarer/loading/specs/o00o,"""无""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""无""",
"""None""",com/fs/starfarer/loading/specs/o00o,"""无""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""无""",
"""Excellent""",com/fs/starfarer/loading/specs/o00o,"""优秀""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""优秀""",
"""Good""",com/fs/starfarer/loading/specs/o00o,"""良好""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""良好""",
"""Medium""",com/fs/starfarer/loading/specs/o00o,"""普通""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""普通""",
"""Poor""",com/fs/starfarer/loading/specs/o00o,"""较差""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""较差""",
"""Very Poor""",com/fs/starfarer/loading/specs/o00o,"""很差""","com/fs/starfarer/loading/specs/o00o.getManeuverabilityDisplayName - String - ""很差""",
"""Level """,com/fs/starfarer/coreui/return,"""等级 ""","com/fs/starfarer/coreui/return.<init> - String - ""等级 """,
