LDC97,class97,LDC96CN
"""Increased defender preparedness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""提高防御能力"""
""" not currently hostile. Your fleet's transponder is on, and carrying out a raid """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意，但由于你的舰队应答器处于开启状态，"""
"""will result in open hostilities.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所以此时发动突袭将意味着公开交战。"""
""" not currently hostile. Your fleet's transponder is off, and carrying out a raid """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意，但由于你的舰队应答器处于关闭状态，"""
"""will only result in a minor penalty to your standing.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所以此时发动突袭只会对你的声誉造成轻微的惩罚。"""
"""Raid strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""突袭战力：%s"""
"""Ground defense strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""地面防御战力：%s"""
"""Projected raid effectiveness: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""预计突袭效果：%s"""
"""The ground defenses are too strong for your forces to be able to cause long-term disruption.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""由于目标地面防御过于强大，致你的部队无法造成有效破坏。"""
"""You do not have the forces to carry out an effective raid to acquire valuables or achieve other objectives.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你没有足够的战力来掠夺贵重物品或达成其他目标。"""
"""Try to acquire valuables, such as commodities or blueprints, or achieve other objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""试图掠夺贵重物品，如大宗商品、蓝图或达成其他目标"""
"""Disrupt the operations of a specific industry or facility""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""瘫痪特定工业设施以及其他设施的正常运作"""
"""Requires at least """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""突袭效果至少需要 """
""" raid effectiveness.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 以上才能进行突袭。"""
"""Go back""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""返回"""
"""After careful consideration, there do not appear to be any targets likely to yield anything of value.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""经过仔细考虑，似乎没有任何有价值的目标是值得破坏的。"""
"""Select raid objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""选择突袭目标"""
"""Select""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备"""
"""Launch bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""开始轰炸"""
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """
""" not currently hostile, and will become hostile if you carry out the bombardment. """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意，如果实施轨道轰炸，将意味着与其公开交战。"""
"""Are you sure?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你确定吗？"""
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的"""
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
"""Multiple factions that are not currently hostile will become hostile if you carry out the bombardment. Are you sure?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""如果进行饱和轰炸，那些目前与你处于非敌对下的多个势力将会立即与你决裂。你确定吗？"""
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的"""
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
"""There are no industries or facilities present that could be disrupted by a raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前没有工业设施与其他设施会被突袭所破坏。"""
"""Select raid objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""选择突袭目标"""
"""Select""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备"""
"""Target: """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目标："""
""" operations are already disrupted, and a raid will have """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 由于目标当地设施已被瘫痪，导致本次突袭行动的效果"""
"""reduced effect.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""遭到减弱。"""
""" operations for at least %s days.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 瘫痪至少 %s 天。"""
"""Your forces are ready to go, awaiting your final confirmation.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队已经准备就绪，正等待你下达最后指令。"""
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续"""
"""Danger level of objectives""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目标的危险程度"""
"""Colony hazard rating""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""殖民地危险等级"""
"""High raid effectiveness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""较高的突袭效率"""
"""Low raid effectiveness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""较低的突袭效率"""
"""Forces held in reserve""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""待命的预备部队"""
"""Increased defender preparedness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""提高防御能力"""
"""Recently raided""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""近期遭到突袭"""
""" raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 突袭"""
"""Your forces have not suffered any casualties.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队没有任何伤亡。"""
"""You forces have suffered casualties during the raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你的部队在突袭中的伤亡报告。"""
"""Stability of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """
""" reduced by %s.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 的稳定性降低了 %s 点。"""
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续"""
"""Pick through the spoils""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""挑选战利品"""
"""Spoils""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""战利品"""
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """
""" has suffered extensive damage and is not currently combat-capable.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 由于遭受了大幅度的破坏，目前已经完全丧失了战斗能力。"""
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """
""" is under construction and is not currently combat-capable.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 由于目前正处于建设当中，因此没有任何战斗能力。"""
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续"""
"""Specialized fleet bombardment capability""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""遭到特遣队轰炸"""
""" not currently hostile. A bombardment is a major enough hostile action that it can't be concealed, """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 目前还没有敌意，如果现在展开声势浩大的轨道轰炸，无论你的应答器 处于何种状态，"""
"""regardless of transponder status.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""都将无法掩盖你所实施的暴行。"""
"""Starship fuel can be easily destabilized, unlocking the destructive potential of the antimatter it contains. Ground defenses can counter a bombardment, though in practice it only means that more fuel is required to achieve the same result.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""Starship fuel can be easily destabilized, unlocking the destructive potential of the antimatter it contains. Ground defenses can counter a bombardment, though in practice it only means that more fuel is required to achieve the same result."""
"""Effective ground defense strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""有效的地面防御战力：%s"""
"""Ground defense strength: %s""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""地面防御战力：%s"""
"""A bombardment requires %s fuel. You have %s fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轰炸需要 %s 单位的燃料。而你现有 %s 单位的燃料。"""
"""Prepare a tactical bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备战术轰炸"""
"""Prepare a saturation bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""准备饱和轰炸"""
"""Not enough fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""没有足够的燃料。"""
"""Not enough fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""没有足够的燃料。"""
"""Go back""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""返回"""
"""Launch raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""开始突袭"""
"""Make special efforts to keep your preparations secret, then proceed""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""保证匿名的情况下完成任务"""
"""Suffer no penalty to your standing with """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""如果来此突袭的舰队未被巡逻队逮到或没有打开应答器的话，那本次行动将不会影响你与 """
""". """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 间"""
"""Will not help if forced to turn your transponder on by patrols arriving to investigate the raid.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""的关系。"""
"""Secretly raided """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""秘密突袭 """
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
"""The """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """
""" not currently hostile, and you have been positively identified. """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""目前还没有敌意，并且你的身份已被对方知晓。"""
"""Are you sure you want to engage in open hostilities?""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""你确定要与其公开敌对吗？"""
"""Yes""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""是的"""
"""Never mind""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""放弃"""
""" does not have any undisrupted military targets that would be affected by a tactical bombardment.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 没有可供瘫痪的军用设施。"""
"""A tactical bombardment will destabilize the colony, and will also disrupt the following military targets for approximately %s days:""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""战术轰炸不仅会破坏殖民地的稳定，还会瘫痪以下军事目标约 %s 天："""
"""The bombardment requires %s fuel. You have %s fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轰炸需要 %s 单位的燃料。而你有 %s 单位的燃料。"""
"""A saturation bombardment of a colony this size will destroy it utterly.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""如果对这种规模的殖民地进行饱和轰炸将会彻底摧毁它。"""
"""A saturation bombardment will destabilize the colony, reduce its population, and disrupt all operations for a long time.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""饱和轰炸不仅会大幅度破坏殖民地的稳定，还会降低其人口，并让所有 设施长期处于瘫痪状态。"""
"""An atrocity of this scale can not be hidden, but any factions that would be dismayed by such actions are already hostile to you.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""这种规模的暴行是无法隐藏的，所以任何对这种行动感到震怒的势力将开始对你抱有敌意。"""
"""An atrocity of this scale can not be hidden, and will make the following factions hostile:""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""这种规模的暴行是无法隐藏的，所以这会让下列势力立即与你敌对："""
"""The bombardment requires %s fuel. You have %s fuel.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""轰炸需要 %s 单位的燃料。而你有 %s 单位的燃料。"""
"""Recently bombarded""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""近期遭到轰炸"""
""" bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 轰炸"""
"""Stability of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""该 """
""" reduced by %s.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 的稳定性降低了 %s 点。"""
"""Military operations disrupted.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所有军用设施已被瘫痪。"""
""" destroyed.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 已被彻底摧毁。"""
"""All operations disrupted.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""所有行动均被中断。"""
"""All operations disrupted. Colony size reduced to %s.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""由于所有设施遭到瘫痪，而导致殖民地的规模降低至 %s."""
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续"""
"""The lack of consistent pay over the last few months has caused discontent among your crew. A number take this opportunity to leave your employment.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""在过去几个月里，因长期拖欠工资而引起部分船员的不满，如今一些人正好借此机会离开了原来的工作岗位。"""
"""Continue""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""继续"""
""" raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 突袭"""
""" raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 突袭"""
"""Increased defender preparedness""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""提高防御能力"""
""" raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,""" 突袭"""
""" raid""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,"""$recentlyRaided"""
"""Saturation bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,#N/A
"""Tactical bombardment""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/MarketCMD,#N/A
"""The total price is %s. You have %s available.""",com/fs/starfarer/api/impl/campaign/rulecmd/DoCanAffordCheck,"""总价为 %s. 你有 %s 可用。"""
"""You have %s available.""",com/fs/starfarer/api/impl/campaign/rulecmd/DoCanAffordCheck,"""你有 %s 可用。"""
"""*The total nav rating for the deployed ships of the fleet increases the top speed of all ships in the fleet, up to a maximum of """,com/fs/starfarer/api/impl/campaign/skills/CoordinatedManeuvers$Level0,"""舰队导航效率可提高已部署舰船的最高航速，最高提高 """
""". Does not apply to fighters.""",com/fs/starfarer/api/impl/campaign/skills/CoordinatedManeuvers$Level0,""". 但对战机无效。"""
"""Each additional ship with a salvage gantry provides diminishing returns. The higher the highest recovery bonus from a single ship in the fleet, the later diminishing returns kick in.""",com/fs/starfarer/api/impl/campaign/RepairGantry,"""收益将随着安装有打捞起重机数量增多而下降。舰队中单一船只的回收最高收益越高，收益下降的幅度就越低。"""
"""The total resource recovery bonus for your fleet is %s.""",com/fs/starfarer/api/impl/campaign/RepairGantry,"""当前舰队的打捞能力为 %s。"""
"""This ship's combat readiness is below %s and the gantry can not be utilized. Bringing this ship into readiness would increase the fleetwide bonus to %s.""",com/fs/starfarer/api/impl/campaign/RepairGantry,"""当该舰战备值 (CR) 低于 %s 时，打捞起重机将无法使用。当该舰的战备充足时，将提高 %s 的舰队打捞能力。"""
"""Removing this ship would decrease it to %s. Adding another ship of the same type would increase it to %s.""",com/fs/starfarer/api/impl/campaign/RepairGantry,"""移除该舰会使增益降至 %s。添加同类舰船会使增益提高至 %s。"""
"""Adding another ship of the same type would increase it to %s.""",com/fs/starfarer/api/impl/campaign/RepairGantry,"""如果再提高一艘同类舰船，其增益将提升至 %s。"""
"""The fleetwide post-battle salvage bonus is %s.""",com/fs/starfarer/api/impl/campaign/RepairGantry,"""当前舰队的战后打捞能力为 %s。"""
""" taps a data pad, and """,com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""不动声色地将任务详情"""
"""an intel assessment shows up on your tripad.""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""传送到你的 TriPad 上。"""
"""The station is assessed to be fully functional and extremely dangerous.""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""经评估，该母舰功能齐全，极度危险。"""
"""The station is assessed to be damaged, but still highly dangerous.""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""经评估，该母舰已经受损，但仍高度危险。"""
"""The bounty posting contains partial intel about the station.""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""该赏金信息中包含有此母舰的部分情报。"""
"""The station is assessed to be fully functional and extremely dangerous.""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""经评估，该母舰功能齐全，极度危险。"""
"""The station is assessed to be damaged, but still highly dangerous.""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,"""经评估，该母舰已经受损，但仍高度危险。"""
""" - Remnant Nexus""",com/fs/starfarer/api/impl/campaign/missions/cb/CBRemnantStation,""" - 余辉母舰"""
"""Tactical bombardment of Kazeron""",com/fs/starfarer/api/impl/campaign/intel/events/HAKazeronTacBombardmentFactor,#N/A
"""You've %s a signficant amount to the Pathers, and their fleets and ground-based cells should leave your colonies alone for another %s """,com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""You've reached an understanding with the Pathers, and their fleets and ground-based cells should leave your colonies alone in the future, barring unexpected events.""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""Signs of a Luddic Path attack targeting %s""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""There are signs of an impending Luddic Path attack targeting %s. If the attack is successful, the colony will suffer a catastrophic saturation bombardment.""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""catastrophic saturation bombardment""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""This attack represents a significant resource investment by the Pathers. If it is defeated, Luddic Path cells Sector-wide will be disrupted.""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""disrupted""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""An agreement is reached with the Luddic Path""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""Luddic Path attack""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""Luddic Path cells disrupted""",com/fs/starfarer/api/impl/campaign/intel/events/LuddicPathHostileActivityFactor,#N/A
"""Alpha core (""",com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""阿尔法核心 ("""
"""Alpha core""",com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""阿尔法核心"""
"""Alpha-level AI core currently assigned. """,com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""目前已被分配的 阿尔法级 AI 核心。"""
"""Alpha-level AI core. """,com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""阿尔法级 AI 核心。"""
"""Reduces upkeep cost by %s. Reduces demand by %s unit. """,com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""维护成本降低 %s. 需求降低 %s 单位。"""
"""Increases ground defenses by %s.""",com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""地面防御 %s."""
"""Reduces upkeep cost by %s. Reduces demand by %s unit. """,com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""维护成本降低 %s. 需求降低 %s 单位。"""
"""Increases ground defenses by %s.""",com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""地面防御 %s."""
"""Ground defenses increased by %s.""",com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""地面防御 %s."""
"""Increases ground defenses by %s.""",com/fs/starfarer/api/impl/campaign/econ/impl/GroundDefenses,"""地面防御 %s."""
"""traveling to """,com/fs/starfarer/api/impl/campaign/intel/group/FGRaidAction,#N/A
"""raiding system""",com/fs/starfarer/api/impl/campaign/intel/group/FGRaidAction,#N/A
"""Extract agent located """,com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,"""目标 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,""", 而此地位于 """
"""The target location is """,com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,"""目标 """
""" %s base.""",com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,""" %s 基地。"""
"""The target location is a size %s colony controlled by """,com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,"""规模：%s, 且目前隶属于 """
"""Extract agent from """,com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,"""目标位于 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,""", 而此地位于 """
"""Combat Extraction""",com/fs/starfarer/api/impl/campaign/missions/ExtractionMission,"""暴力营救"""
""" Item""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 制品"""
""" item""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 制品"""
""" Blueprint""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 蓝图"""
""" blueprint""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 蓝图"""
"""an Invalid Item""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""一个损坏的制品"""
"""Invalid Item""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""损坏的制品"""
""" Blueprint""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 蓝图"""
""" Blueprint""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 蓝图"""
""" Blueprint""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 蓝图"""
"""Exploration""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""探索"""
"""exploring system""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""正在探索星系"""
"""scanning local volume""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""正在扫描"""
"""There is """,com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""这 """
""" to be found somewhere in the """,com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 可能在 """
""".""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 中的某处找到。"""
"""There is """,com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""这 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 可能在 """
""" Intel""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,""" 的情报"""
"""intel""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""情报"""
"""acted on""",com/fs/starfarer/api/impl/campaign/missions/BlueprintIntel,"""已探索"""
"""Ballistic and energy weapons have a chance to deal %s damage at long range""",com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level1,"""实弹与能量武器所发射的炮弹有一定概率对远距离的目标造成额外 %s 的伤害"""
"""%s chance at %s range and below, """,com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level1,"""%s 概率为 %s 距离以下，"""
"""%s chance at %s range and above""",com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level1,"""而想要达到最高 %s 的概率需要飞行距离至少 %s 以上"""
"""Ballistic and energy weapons deal up to %s damage at long range""",com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level1,"""实弹与能量武器所发射的炮弹飞得越远，造成的伤害也就越高，最多可 %s 的伤害"""
"""%s at %s range and below, """,com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level1,"""%s 加成为 %s 距离以下，"""
"""%s at %s range and above""",com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level1,"""而想要达到最高 %s 的加成需要飞行距离至少 %s 以上"""
"""% ballistic and energy projectile speed""",com/fs/starfarer/api/impl/campaign/skills/RangedSpecialization$Level2,"""% 实弹与能量武器弹丸的飞行速度"""
"""+""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level4,#N/A
"""% damage to weapons and engines""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level4,#N/A
"""+""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level1,#N/A
"""% damage to destroyers""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level1,#N/A
"""+""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level2,#N/A
"""% damage to cruisers""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level2,#N/A
"""+""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level3,#N/A
"""% damage to capital ships""",com/fs/starfarer/api/impl/campaign/skills/TargetAnalysis$Level3,#N/A
"""Colonies""",com/fs/starfarer/api/campaign/econ/MonthlyReport,"""殖民地"""
"""Stockpiles used to counter shortages""",com/fs/starfarer/api/campaign/econ/MonthlyReport,"""用于抵消短缺而使用的库存"""
"""Stockpiles drawn by your fleet""",com/fs/starfarer/api/campaign/econ/MonthlyReport,"""账单"""
"""Last month's debt""",com/fs/starfarer/api/campaign/econ/MonthlyReport,"""上个月的债务"""
"""... some promising leads that a """,com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""... 一些有趣的线索，看来 """
""" donation would let """,com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,""" 的捐款应该可以让"""
""" pursue""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""继续这项研究"""
"""Make the donation""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""捐款"""
"""Steer the conversation to other topics""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""把话题引向其他主题上"""
"""The asked-for donation amount is %s. You only have %s available.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""要求捐赠 %s, 而你只有 %s 可用。"""
"""You don't have enough credits.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""没有足够的星币。"""
"""The asked-for donation amount is %s. You have %s available.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/historian/DonationOffer,"""要求捐赠 %s, 而你有 %s 可用。"""
